timestamp;episode;best_of_100;running_reward;frame_count
2024-12-05 21:10;18;275;153;10000
2024-12-05 21:15;35;470;166;20000
2024-12-05 21:20;54;470;161;30000
2024-12-05 21:26;70;470;167;40000
2024-12-05 21:33;89;715;177;50000
2024-12-05 21:40;106;715;178;60000
2024-12-05 21:48;126;715;171;70000
2024-12-05 21:56;148;715;171;80000
2024-12-05 22:05;168;715;171;90000
2024-12-05 22:14;185;620;166;100000
2024-12-05 22:24;208;620;154;110000
2024-12-05 22:34;228;485;157;120000
2024-12-05 22:45;247;485;162;130000
2024-12-05 22:57;269;440;159;140000
2024-12-05 23:10;289;500;157;150000
2024-12-05 23:23;310;500;164;160000
2024-12-05 23:37;330;500;163;170000
2024-12-05 23:52;351;500;161;180000
2024-12-06 00:07;371;425;160;190000
2024-12-06 00:24;391;425;166;200000
2024-12-06 00:41;410;425;167;210000
2024-12-06 01:00;428;425;172;220000
2024-12-06 01:20;448;410;168;230000
2024-12-06 01:41;468;360;170;240000
2024-12-06 02:03;487;590;182;250000
2024-12-06 02:27;506;590;184;260000
2024-12-06 02:51;526;590;187;270000
2024-12-06 03:18;546;590;185;280000
2024-12-06 03:45;563;750;195;290000
2024-12-06 04:13;582;750;199;300000
2024-12-06 04:43;601;750;196;310000
2024-12-06 05:13;621;750;194;320000
2024-12-06 05:46;638;750;205;330000
2024-12-06 06:21;656;620;210;340000
2024-12-06 06:56;675;620;202;350000
2024-12-06 07:36;695;620;208;360000
2024-12-06 08:13;714;620;207;370000
2024-12-06 08:45;733;550;205;380000
2024-12-06 09:23;753;550;197;390000
2024-12-06 09:55;773;550;199;400000
2024-12-06 10:32;793;550;201;410000
2024-12-06 11:07;810;685;209;420000
2024-12-06 11:50;830;685;206;430000
2024-12-06 12:42;848;685;210;440000
2024-12-06 13:43;865;685;221;450000
2024-12-06 14:40;883;685;226;460000
2024-12-06 15:19;901;685;234;470000
2024-12-06 16:01;918;670;228;480000
2024-12-06 16:43;934;670;242;490000
2024-12-06 17:31;951;670;247;500000
2024-12-06 18:33;971;670;237;510000
2024-12-06 19:42;990;670;241;520000
2024-12-06 20:49;1006;670;247;530000
2024-12-06 21:59;1021;595;254;540000
2024-12-06 23:14;1038;595;248;550000
2024-12-07 00:31;1055;595;251;560000
2024-12-07 01:47;1072;695;261;570000
2024-12-07 03:05;1089;695;270;580000
2024-12-07 04:27;1106;695;265;590000
2024-12-07 05:50;1125;695;249;600000
2024-12-07 07:15;1143;695;250;610000
2024-12-07 08:44;1159;620;246;620000
2024-12-07 10:21;1176;640;251;630000
2024-12-07 11:53;1190;800;263;640000
2024-12-07 13:30;1207;800;270;650000
2024-12-07 15:10;1223;800;282;660000
2024-12-07 16:54;1239;800;292;670000
2024-12-07 18:47;1254;800;299;680000
2024-12-07 20:43;1271;800;297;690000
2024-12-07 22:38;1288;785;285;700000
2024-12-08 00:36;1304;785;277;710000
2024-12-08 02:35;1322;785;270;720000
2024-12-08 04:36;1338;785;267;730000
2024-12-08 06:41;1355;775;261;740000
2024-12-08 08:51;1372;725;255;750000
2024-12-08 10:57;1389;725;261;760000
2024-12-08 13:07;1404;725;267;770000
2024-12-08 15:18;1422;725;270;780000
2024-12-08 17:32;1436;625;273;790000
2024-12-08 19:48;1451;625;282;800000
2024-12-08 22:07;1468;625;291;810000
2024-12-09 00:27;1482;625;303;820000
2024-12-09 02:49;1498;615;306;830000
2024-12-09 05:14;1516;615;307;840000
2024-12-09 07:41;1532;615;305;850000
2024-12-09 10:13;1549;605;300;860000
2024-12-09 12:54;1567;605;292;870000
2024-12-09 15:33;1584;605;286;880000
2024-12-09 18:14;1600;590;279;890000
2024-12-09 20:55;1619;700;282;900000
2024-12-09 23:37;1635;700;283;910000
2024-12-10 02:22;1652;700;288;920000
2024-12-10 05:08;1669;700;288;930000
2024-12-10 07:54;1687;700;286;940000
2024-12-10 10:45;1702;600;287;950000
2024-12-10 13:40;1715;620;306;960000
2024-12-10 16:33;1731;620;308;970000
2024-12-10 19:22;1745;620;307;980000
2024-12-10 22:23;1759;620;319;990000
2024-12-11 01:08;1771;985;337;1000000
2024-12-11 04:08;1785;985;347;1010000
2024-12-11 07:27;1800;985;348;1020000
2024-12-11 11:00;1815;985;336;1030000
2024-12-11 14:36;1830;985;346;1040000
2024-12-11 18:04;1846;985;346;1050000
2024-12-11 21:19;1860;985;352;1060000
2024-12-12 00:22;1875;985;345;1070000
2024-12-12 03:26;1892;725;332;1080000
2024-12-12 06:36;1907;725;330;1090000
2024-12-12 09:59;1924;700;324;1100000
2024-12-12 13:07;1937;660;318;1110000
2024-12-12 16:32;1953;660;316;1120000
2024-12-12 19:50;1966;680;321;1130000
2024-12-12 23:11;1981;680;320;1140000
2024-12-13 02:32;1995;680;327;1150000
2024-12-13 05:44;2010;735;334;1160000
2024-12-13 08:55;2027;735;336;1170000
2024-12-13 12:09;2043;735;337;1180000
2024-12-13 15:38;2056;735;340;1190000
2024-12-13 18:59;2071;735;332;1200000
2024-12-13 22:07;2084;785;343;1210000
2024-12-14 01:36;2098;785;344;1220000
2024-12-14 04:55;2114;785;351;1230000
2024-12-14 08:13;2129;785;349;1240000
2024-12-14 11:31;2144;785;355;1250000
2024-12-14 14:49;2160;785;341;1260000
2024-12-14 18:08;2174;785;348;1270000
2024-12-14 21:31;2188;700;340;1280000
2024-12-15 00:46;2204;700;336;1290000
2024-12-15 03:56;2221;700;332;1300000
2024-12-15 07:12;2237;700;326;1310000
